aspect,subj,do,io,pol,surface
Impf,P3 Pl,-,P2 Sg,Pos,jistriħulek
Impf,P3 Pl,-,P2 Sg,Neg,jistriħulekx
Impf,P3 Pl,-,P2 Pl,Pos,jistriħulkom
Impf,P3 Pl,-,P2 Pl,Neg,jistriħulkomx
Impf,P3 Pl,-,P3 Sg Masc,Pos,jistriħulu
Impf,P3 Pl,-,P3 Sg Masc,Neg,jistriħulux
Impf,P3 Pl,-,P3 Sg Fem,Pos,jistriħulha
Impf,P3 Pl,-,P3 Sg Fem,Neg,jistriħulhiex
Impf,P3 Pl,-,P3 Pl,Pos,jistriħulhom
Impf,P3 Pl,-,P3 Pl,Neg,jistriħulhomx
Impf,P3 Pl,P3 Sg Masc,P1 Sg,Pos,jistriħuhuli
Impf,P3 Pl,P3 Sg Masc,P1 Sg,Neg,jistriħuhulix
Impf,P3 Pl,P3 Sg Masc,P1 Pl,Pos,jistriħuhulna
Impf,P3 Pl,P3 Sg Masc,P1 Pl,Neg,jistriħuhulniex
Impf,P3 Pl,P3 Sg Masc,P2 Sg,Pos,jistriħuhulek
Impf,P3 Pl,P3 Sg Masc,P2 Sg,Neg,jistriħuhulekx
Impf,P3 Pl,P3 Sg Masc,P2 Pl,Pos,jistriħuhulkom
Impf,P3 Pl,P3 Sg Masc,P2 Pl,Neg,jistriħuhulkomx
Impf,P3 Pl,P3 Sg Masc,P3 Sg Masc,Pos,jistriħuhulu
Impf,P3 Pl,P3 Sg Masc,P3 Sg Masc,Neg,jistriħuhulux
Impf,P3 Pl,P3 Sg Masc,P3 Sg Fem,Pos,jistriħuhulha
Impf,P3 Pl,P3 Sg Masc,P3 Sg Fem,Neg,jistriħuhulhiex
Impf,P3 Pl,P3 Sg Masc,P3 Pl,Pos,jistriħuhulhom
Impf,P3 Pl,P3 Sg Masc,P3 Pl,Neg,jistriħuhulhomx
Impf,P3 Pl,P3 Sg Fem,P1 Sg,Pos,jistriħuhieli
Impf,P3 Pl,P3 Sg Fem,P1 Sg,Neg,jistriħuhilix
Impf,P3 Pl,P3 Sg Fem,P1 Pl,Pos,jistriħuhielna
Impf,P3 Pl,P3 Sg Fem,P1 Pl,Neg,jistriħuhilniex
Impf,P3 Pl,P3 Sg Fem,P2 Sg,Pos,jistriħuhielek
Impf,P3 Pl,P3 Sg Fem,P2 Sg,Neg,jistriħuhilekx
Impf,P3 Pl,P3 Sg Fem,P2 Pl,Pos,jistriħuhielkom
Impf,P3 Pl,P3 Sg Fem,P2 Pl,Neg,jistriħuhilkomx
Impf,P3 Pl,P3 Sg Fem,P3 Sg Masc,Pos,jistriħuhielu
Impf,P3 Pl,P3 Sg Fem,P3 Sg Masc,Neg,jistriħuhilux
Impf,P3 Pl,P3 Sg Fem,P3 Sg Fem,Pos,jistriħuhielha
Impf,P3 Pl,P3 Sg Fem,P3 Sg Fem,Neg,jistriħuhilhiex
Impf,P3 Pl,P3 Sg Fem,P3 Pl,Pos,jistriħuhielhom
Impf,P3 Pl,P3 Sg Fem,P3 Pl,Neg,jistriħuhilhomx
Impf,P3 Pl,P3 Pl,P1 Sg,Pos,jistriħuhomli
Impf,P3 Pl,P3 Pl,P1 Sg,Neg,jistriħuhomlix
Impf,P3 Pl,P3 Pl,P1 Pl,Pos,jistriħuhomlna
Impf,P3 Pl,P3 Pl,P1 Pl,Neg,jistriħuhomlniex
Impf,P3 Pl,P3 Pl,P2 Sg,Pos,jistriħuhomlok
Impf,P3 Pl,P3 Pl,P2 Sg,Neg,jistriħuhomlokx
Impf,P3 Pl,P3 Pl,P2 Pl,Pos,jistriħuhomlkom
Impf,P3 Pl,P3 Pl,P2 Pl,Neg,jistriħuhomlkomx
Impf,P3 Pl,P3 Pl,P3 Sg Masc,Pos,jistriħuhomlu
Impf,P3 Pl,P3 Pl,P3 Sg Masc,Neg,jistriħuhomlux
Impf,P3 Pl,P3 Pl,P3 Sg Fem,Pos,jistriħuhomlha
Impf,P3 Pl,P3 Pl,P3 Sg Fem,Neg,jistriħuhomlhiex
Impf,P3 Pl,P3 Pl,P3 Pl,Pos,jistriħuhomlhom
Impf,P3 Pl,P3 Pl,P3 Pl,Neg,jistriħuhomlhomx
Imp,P2 Sg,-,-,Pos,strieħ
Imp,P2 Sg,-,-,Neg,striħx
Imp,P2 Sg,P1 Sg,-,Pos,strieħni
Imp,P2 Sg,P1 Sg,-,Neg,striħnix
Imp,P2 Sg,P1 Pl,-,Pos,strieħna
Imp,P2 Sg,P1 Pl,-,Neg,striħniex
Imp,P2 Sg,P2 Sg,-,Pos,-
Imp,P2 Sg,P2 Sg,-,Neg,-
Imp,P2 Sg,P2 Pl,-,Pos,-
Imp,P2 Sg,P2 Pl,-,Neg,-
Imp,P2 Sg,P3 Sg Masc,-,Pos,strieħu
Imp,P2 Sg,P3 Sg Masc,-,Neg,striħux
Imp,P2 Sg,P3 Sg Fem,-,Pos,strieħha
Imp,P2 Sg,P3 Sg Fem,-,Neg,striħhiex
Imp,P2 Sg,P3 Pl,-,Pos,strieħhom
Imp,P2 Sg,P3 Pl,-,Neg,striħhomx
Imp,P2 Sg,-,P1 Sg,Pos,strieħli
Imp,P2 Sg,-,P1 Sg,Neg,striħlix
Imp,P2 Sg,-,P1 Pl,Pos,striħilna
Imp,P2 Sg,-,P1 Pl,Neg,striħilniex
Imp,P2 Sg,-,P2 Sg,Pos,-
Imp,P2 Sg,-,P2 Sg,Neg,-
Imp,P2 Sg,-,P2 Pl,Pos,-
Imp,P2 Sg,-,P2 Pl,Neg,-
Imp,P2 Sg,-,P3 Sg Masc,Pos,strieħlu
Imp,P2 Sg,-,P3 Sg Masc,Neg,striħlux
Imp,P2 Sg,-,P3 Sg Fem,Pos,striħilha
Imp,P2 Sg,-,P3 Sg Fem,Neg,striħilhiex
Imp,P2 Sg,-,P3 Pl,Pos,striħilhom
Imp,P2 Sg,-,P3 Pl,Neg,striħilhomx
Imp,P2 Sg,P3 Sg Masc,P1 Sg,Pos,striħhuli
Imp,P2 Sg,P3 Sg Masc,P1 Sg,Neg,striħhulix
Imp,P2 Sg,P3 Sg Masc,P1 Pl,Pos,striħhulna
Imp,P2 Sg,P3 Sg Masc,P1 Pl,Neg,striħhulniex
Imp,P2 Sg,P3 Sg Masc,P2 Sg,Pos,-
Imp,P2 Sg,P3 Sg Masc,P2 Sg,Neg,-
Imp,P2 Sg,P3 Sg Masc,P2 Pl,Pos,-
Imp,P2 Sg,P3 Sg Masc,P2 Pl,Neg,-
Imp,P2 Sg,P3 Sg Masc,P3 Sg Masc,Pos,striħhulu
Imp,P2 Sg,P3 Sg Masc,P3 Sg Masc,Neg,striħhulux
Imp,P2 Sg,P3 Sg Masc,P3 Sg Fem,Pos,striħhulha
Imp,P2 Sg,P3 Sg Masc,P3 Sg Fem,Neg,striħhulhiex
Imp,P2 Sg,P3 Sg Masc,P3 Pl,Pos,striħhulhom
Imp,P2 Sg,P3 Sg Masc,P3 Pl,Neg,striħhulhomx
Imp,P2 Sg,P3 Sg Fem,P1 Sg,Pos,striħhieli
Imp,P2 Sg,P3 Sg Fem,P1 Sg,Neg,striħhilix
Imp,P2 Sg,P3 Sg Fem,P1 Pl,Pos,striħhielna
Imp,P2 Sg,P3 Sg Fem,P1 Pl,Neg,striħhilniex
Imp,P2 Sg,P3 Sg Fem,P2 Sg,Pos,-
Imp,P2 Sg,P3 Sg Fem,P2 Sg,Neg,-
Imp,P2 Sg,P3 Sg Fem,P2 Pl,Pos,-
Imp,P2 Sg,P3 Sg Fem,P2 Pl,Neg,-
Imp,P2 Sg,P3 Sg Fem,P3 Sg Masc,Pos,striħhielu
Imp,P2 Sg,P3 Sg Fem,P3 Sg Masc,Neg,striħhilux
Imp,P2 Sg,P3 Sg Fem,P3 Sg Fem,Pos,striħhielha
Imp,P2 Sg,P3 Sg Fem,P3 Sg Fem,Neg,striħhilhiex
Imp,P2 Sg,P3 Sg Fem,P3 Pl,Pos,striħhielhom
Imp,P2 Sg,P3 Sg Fem,P3 Pl,Neg,striħhilhomx
Imp,P2 Sg,P3 Pl,P1 Sg,Pos,striħhomli
Imp,P2 Sg,P3 Pl,P1 Sg,Neg,striħhomlix
Imp,P2 Sg,P3 Pl,P1 Pl,Pos,striħhomlna
Imp,P2 Sg,P3 Pl,P1 Pl,Neg,striħhomlniex
Imp,P2 Sg,P3 Pl,P2 Sg,Pos,-
Imp,P2 Sg,P3 Pl,P2 Sg,Neg,-
Imp,P2 Sg,P3 Pl,P2 Pl,Pos,-
Imp,P2 Sg,P3 Pl,P2 Pl,Neg,-
Imp,P2 Sg,P3 Pl,P3 Sg Masc,Pos,striħhomlu
Imp,P2 Sg,P3 Pl,P3 Sg Masc,Neg,striħhomlux
Imp,P2 Sg,P3 Pl,P3 Sg Fem,Pos,striħhomlha
Imp,P2 Sg,P3 Pl,P3 Sg Fem,Neg,striħhomlhiex
Imp,P2 Sg,P3 Pl,P3 Pl,Pos,striħhomlhom
Imp,P2 Sg,P3 Pl,P3 Pl,Neg,striħhomlhomx
Imp,P2 Pl,-,-,Pos,strieħu
Imp,P2 Pl,-,-,Neg,striħux
Imp,P2 Pl,P1 Sg,-,Pos,striħuni
Imp,P2 Pl,P1 Sg,-,Neg,striħunix
Imp,P2 Pl,P1 Pl,-,Pos,striħuna
Imp,P2 Pl,P1 Pl,-,Neg,striħuniex
Imp,P2 Pl,P2 Sg,-,Pos,-
Imp,P2 Pl,P2 Sg,-,Neg,-
Imp,P2 Pl,P2 Pl,-,Pos,-
Imp,P2 Pl,P2 Pl,-,Neg,-
Imp,P2 Pl,P3 Sg Masc,-,Pos,striħuh
Imp,P2 Pl,P3 Sg Masc,-,Neg,striħuhx
Imp,P2 Pl,P3 Sg Fem,-,Pos,striħuha
Imp,P2 Pl,P3 Sg Fem,-,Neg,striħuhiex
Imp,P2 Pl,P3 Pl,-,Pos,striħuhom
Imp,P2 Pl,P3 Pl,-,Neg,striħuhomx
Imp,P2 Pl,-,P1 Sg,Pos,striħuli
Imp,P2 Pl,-,P1 Sg,Neg,striħulix
Imp,P2 Pl,-,P1 Pl,Pos,striħulna
Imp,P2 Pl,-,P1 Pl,Neg,striħulniex
Imp,P2 Pl,-,P2 Sg,Pos,-
Imp,P2 Pl,-,P2 Sg,Neg,-
Imp,P2 Pl,-,P2 Pl,Pos,-
Imp,P2 Pl,-,P2 Pl,Neg,-
Imp,P2 Pl,-,P3 Sg Masc,Pos,striħulu
Imp,P2 Pl,-,P3 Sg Masc,Neg,striħulux
Imp,P2 Pl,-,P3 Sg Fem,Pos,striħulha
Imp,P2 Pl,-,P3 Sg Fem,Neg,striħulhiex
Imp,P2 Pl,-,P3 Pl,Pos,striħulhom
Imp,P2 Pl,-,P3 Pl,Neg,striħulhomx
Imp,P2 Pl,P3 Sg Masc,P1 Sg,Pos,striħuhuli
Imp,P2 Pl,P3 Sg Masc,P1 Sg,Neg,striħuhulix
Imp,P2 Pl,P3 Sg Masc,P1 Pl,Pos,striħuhulna
Imp,P2 Pl,P3 Sg Masc,P1 Pl,Neg,striħuhulniex
Imp,P2 Pl,P3 Sg Masc,P2 Sg,Pos,-
Imp,P2 Pl,P3 Sg Masc,P2 Sg,Neg,-
Imp,P2 Pl,P3 Sg Masc,P2 Pl,Pos,-
Imp,P2 Pl,P3 Sg Masc,P2 Pl,Neg,-
Imp,P2 Pl,P3 Sg Masc,P3 Sg Masc,Pos,striħuhulu
Imp,P2 Pl,P3 Sg Masc,P3 Sg Masc,Neg,striħuhulux
Imp,P2 Pl,P3 Sg Masc,P3 Sg Fem,Pos,striħuhulha
Imp,P2 Pl,P3 Sg Masc,P3 Sg Fem,Neg,striħuhulhiex
Imp,P2 Pl,P3 Sg Masc,P3 Pl,Pos,striħuhulhom
Imp,P2 Pl,P3 Sg Masc,P3 Pl,Neg,striħuhulhomx
Imp,P2 Pl,P3 Sg Fem,P1 Sg,Pos,striħuhieli
Imp,P2 Pl,P3 Sg Fem,P1 Sg,Neg,striħuhilix
Imp,P2 Pl,P3 Sg Fem,P1 Pl,Pos,striħuhielna
Imp,P2 Pl,P3 Sg Fem,P1 Pl,Neg,striħuhilniex
Imp,P2 Pl,P3 Sg Fem,P2 Sg,Pos,-
Imp,P2 Pl,P3 Sg Fem,P2 Sg,Neg,-
Imp,P2 Pl,P3 Sg Fem,P2 Pl,Pos,-
Imp,P2 Pl,P3 Sg Fem,P2 Pl,Neg,-
Imp,P2 Pl,P3 Sg Fem,P3 Sg Masc,Pos,striħuhielu
Imp,P2 Pl,P3 Sg Fem,P3 Sg Masc,Neg,striħuhilux
Imp,P2 Pl,P3 Sg Fem,P3 Sg Fem,Pos,striħuhielha
Imp,P2 Pl,P3 Sg Fem,P3 Sg Fem,Neg,striħuhilhiex
Imp,P2 Pl,P3 Sg Fem,P3 Pl,Pos,striħuhielhom
Imp,P2 Pl,P3 Sg Fem,P3 Pl,Neg,striħuhilhomx
Imp,P2 Pl,P3 Pl,P1 Sg,Pos,striħuhomli
Imp,P2 Pl,P3 Pl,P1 Sg,Neg,striħuhomlix
Imp,P2 Pl,P3 Pl,P1 Pl,Pos,striħuhomlna
Imp,P2 Pl,P3 Pl,P1 Pl,Neg,striħuhomlniex
Imp,P2 Pl,P3 Pl,P2 Sg,Pos,-
Imp,P2 Pl,P3 Pl,P2 Sg,Neg,-
Imp,P2 Pl,P3 Pl,P2 Pl,Pos,-
Imp,P2 Pl,P3 Pl,P2 Pl,Neg,-
Imp,P2 Pl,P3 Pl,P3 Sg Masc,Pos,striħuhomlu
Imp,P2 Pl,P3 Pl,P3 Sg Masc,Neg,striħuhomlux
Imp,P2 Pl,P3 Pl,P3 Sg Fem,Pos,striħuhomlha
Imp,P2 Pl,P3 Pl,P3 Sg Fem,Neg,striħuhomlhiex
Imp,P2 Pl,P3 Pl,P3 Pl,Pos,striħuhomlhom
Imp,P2 Pl,P3 Pl,P3 Pl,Neg,striħuhomlhomx
